,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL,data_chart
1,"Investe Em Mim","Jonas Esticado",599971,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7,2020-10-08
2,"Recairei - Ao Vivo","Os Barões Da Pisadinha",584666,https://open.spotify.com/track/71FrGl0XcpL3VId65tB5mg,2020-10-08
3,"Oh Juliana",Niack,560974,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt,2020-10-08
4,"Só Você","MC Rogerinho",541412,https://open.spotify.com/track/59kRq8rb5uJCrSYYbGCk7o,2020-10-08
5,"Me Gusta (with Cardi B & Myke Towers)",Anitta,499083,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE,2020-10-08
6,"Quero Você do Jeito Que Quiser","Marília Mendonça",448036,https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI,2020-10-08
7,"Comprei um Lança","Mc Jacaré",408841,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ,2020-10-08
8,"Sogra - Ao Vivo",Dilsinho,408171,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi,2020-10-08
9,"Vai Ter Que Aguentar","Mc Don Juan",386579,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2,2020-10-08
10,"Figurinha - Ao Vivo","Douglas & Vinicius",385287,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE,2020-10-08
11,"Máquina do Tempo",Matuê,375693,https://open.spotify.com/track/5oI9blwsXC8AkTWw6wASY8,2020-10-08
12,"De Menina pra Mulher - Ao Vivo","Gusttavo Lima",366592,https://open.spotify.com/track/42P3wMiPfXQM93TYZotuPQ,2020-10-08
13,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",360536,https://open.spotify.com/track/3AV1KI22k1jGMz792lDrj1,2020-10-08
14,"Nem Doeu - Ao Vivo","Matheus & Kauan",359099,https://open.spotify.com/track/260n4ECk9j4IEvTAVBYojl,2020-10-08
15,"Tá Rocheda","Os Barões Da Pisadinha",356458,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK,2020-10-08
16,"Desce Pro Play (PA PA PA)","Mc Zaac",355755,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ,2020-10-08
17,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",355284,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0,2020-10-08
18,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",352291,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk,2020-10-08
19,"Volta por Baixo - Ao Vivo","Henrique & Juliano",346194,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul,2020-10-08
20,Ranking,"Jorge & Mateus",341909,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS,2020-10-08
