,Position,"Track Name",Artist,Streams,URL,data_chart
1,"Recairei - Ao Vivo","Os Barões Da Pisadinha",580454,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP,2020-12-01
2,"Ilusão (Cracolândia)","MC Hariel",570422,https://open.spotify.com/track/6WXglvTFRmjlHHhgjYMNif,2020-12-01
3,"Amor ou o Litrão","Petter Ferraz",515472,https://open.spotify.com/track/7qmnP8Woc47dLSrMD5MxL1,2020-12-01
4,"Investe Em Mim","Jonas Esticado",477786,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7,2020-12-01
5,"Só Tem Eu","Zé Felipe",445499,https://open.spotify.com/track/1X0MaGErD8rcspqQs9s2m0,2020-12-01
6,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",437199,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs,2020-12-01
7,"Lance Individual","Jorge & Mateus",425001,https://open.spotify.com/track/7GLWWrk1YlkPYqJK3ynIA0,2020-12-01
8,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",397572,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4,2020-12-01
9,"Figurinha - Ao Vivo","Douglas & Vinicius",390474,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE,2020-12-01
10,Rita,Tierry,385038,https://open.spotify.com/track/1nDCZBI8MaHXI2f36dnQyG,2020-12-01
11,"Rainha da Favela",LUDMILLA,361340,https://open.spotify.com/track/3vu864xi5Xis9VfOsJpmXu,2020-12-01
12,"Poesia Acústica 10: Recomeçar","Pineapple StormTv",354622,https://open.spotify.com/track/4pwFy4YPNGMxK2P2FfQfvt,2020-12-01
13,"Só Você","MC Rogerinho",351895,https://open.spotify.com/track/59kRq8rb5uJCrSYYbGCk7o,2020-12-01
14,"De Menina pra Mulher - Ao Vivo","Gusttavo Lima",347967,https://open.spotify.com/track/42P3wMiPfXQM93TYZotuPQ,2020-12-01
15,"Cidade Inteira","Eric Land",346117,https://open.spotify.com/track/7J3QMuDCSv56jRSiD9jFBF,2020-12-01
16,"Oh Juliana",Niack,336087,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt,2020-12-01
17,"Quero Você do Jeito Que Quiser","Marília Mendonça",333084,https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI,2020-12-01
18,"Alô Ex-Amor - Ao Vivo","João Bosco e Gabriel",332493,https://open.spotify.com/track/2QCwoYDn4DRfjs4NhW2KpO,2020-12-01
19,"Tá Rocheda","Os Barões Da Pisadinha",328168,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK,2020-12-01
20,"Amor e Fé - Acústico","Hungria Hip Hop",325422,https://open.spotify.com/track/5ra6CI0pEzqjxPEZeBz0d7,2020-12-01
21,"Sogra - Ao Vivo",Dilsinho,317902,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi,2020-12-01
22,"Pulei na Piscina - Ao Vivo","Guilherme & Benuto",309153,https://open.spotify.com/track/1uA7fD01YlQr1Rm0oyNB4H,2020-12-01
23,positions,"Ariana Grande",302904,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,2020-12-01
24,"Nem Doeu - Ao Vivo","Matheus & Kauan",294991,https://open.spotify.com/track/260n4ECk9j4IEvTAVBYojl,2020-12-01
25,Letícia,"Zé Vaqueiro",294062,https://open.spotify.com/track/2R1OgezGfBMeiAcMpJ1EkH,2020-12-01
26,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",290835,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk,2020-12-01
27,"Me Gusta (with Cardi B & Myke Towers)",Anitta,268863,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE,2020-12-01
28,"Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo","Grupo Menos É Mais",268023,https://open.spotify.com/track/5r9CZJMoMmxio2AnJdxuDS,2020-12-01
29,Bandida,"Pabllo Vittar",261485,https://open.spotify.com/track/2VFTgZwiAdrADSLrUNHWt9,2020-12-01
30,"Volta por Baixo - Ao Vivo","Henrique & Juliano",255315,https://open.spotify.com/track/6juD9PQwAPvuXYIAE2gjhO,2020-12-01
31,"Um Sabadão Desse Uma Lua Dessa","Mc Talibã",254952,https://open.spotify.com/track/3KfyRuNdcCGsZb15sqrXDA,2020-12-01
32,"Comprei um Lança","Mc Jacaré",251361,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ,2020-12-01
33,"Blinding Lights","The Weeknd",249879,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020-12-01
34,"Amor da Despedida","Os Barões Da Pisadinha",249647,https://open.spotify.com/track/0WlmiIK5qFQ4dAB4mCA4sI,2020-12-01
35,"Espetinho - Ao Vivo","Gusttavo Lima",247772,https://open.spotify.com/track/1UF3sCkxXH4OE7ja83GRzj,2020-12-01
36,"Desejando Eu (Ao Vivo)","Murilo Huff",243784,https://open.spotify.com/track/3056x1XkmICnQmji68rrft,2020-12-01
37,"Não Vai Embora",Dilsinho,243512,https://open.spotify.com/track/28atBekPVlTdnU4M9Z7udd,2020-12-01
38,"Maçã Verde","MC Hariel",242522,https://open.spotify.com/track/7lJoRyuNJtuiqTcKtuMuIR,2020-12-01
